day_key,actual_date,day_of_month,month,quarter,year
672,2000-11-02,2,11,3,2000
673,2000-11-03,3,11,3,2000
674,2000-11-04,4,11,3,2000
675,2000-11-05,5,11,3,2000
676,2000-11-06,6,11,3,2000
677,2000-11-07,7,11,3,2000
678,2000-11-08,8,11,3,2000
679,2000-11-09,9,11,3,2000
680,2000-11-10,10,11,3,2000
681,2000-11-11,11,11,3,2000
682,2000-11-12,12,11,3,2000
683,2000-11-13,13,11,3,2000
684,2000-11-14,14,11,3,2000
685,2000-11-15,15,11,3,2000
686,2000-11-16,16,11,3,2000
687,2000-11-17,17,11,3,2000
688,2000-11-18,18,11,3,2000
689,2000-11-19,19,11,3,2000
690,2000-11-20,20,11,3,2000
691,2000-11-21,21,11,3,2000
692,2000-11-22,22,11,3,2000
693,2000-11-23,23,11,3,2000
694,2000-11-24,24,11,3,2000
695,2000-11-25,25,11,3,2000
696,2000-11-26,26,11,3,2000
697,2000-11-27,27,11,3,2000
698,2000-11-28,28,11,3,2000
699,2000-11-29,29,11,3,2000
700,2000-11-30,30,11,3,2000
701,2000-12-01,1,12,4,2000
702,2000-12-02,2,12,4,2000
703,2000-12-03,3,12,4,2000
704,2000-12-04,4,12,4,2000
705,2000-12-05,5,12,4,2000
706,2000-12-06,6,12,4,2000
707,2000-12-07,7,12,4,2000
708,2000-12-08,8,12,4,2000
709,2000-12-09,9,12,4,2000
710,2000-12-10,10,12,4,2000
711,2000-12-11,11,12,4,2000
712,2000-12-12,12,12,4,2000
713,2000-12-13,13,12,4,2000
714,2000-12-14,14,12,4,2000
715,2000-12-15,15,12,4,2000
716,2000-12-16,16,12,4,2000
717,2000-12-17,17,12,4,2000
718,2000-12-18,18,12,4,2000
719,2000-12-19,19,12,4,2000
720,2000-12-20,20,12,4,2000
721,2000-12-21,21,12,4,2000
722,2000-12-22,22,12,4,2000
723,2000-12-23,23,12,4,2000
724,2000-12-24,24,12,4,2000
725,2000-12-25,25,12,4,2000
726,2000-12-26,26,12,4,2000
727,2000-12-27,27,12,4,2000
728,2000-12-28,28,12,4,2000
729,2000-12-29,29,12,4,2000
730,2000-12-30,30,12,4,2000
731,2000-12-31,31,12,4,2000
732,2001-01-01,1,1,1,2001
733,2001-01-02,2,1,1,2001
734,2001-01-03,3,1,1,2001
735,2001-01-04,4,1,1,2001
736,2001-01-05,5,1,1,2001
737,2001-01-06,6,1,1,2001
738,2001-01-07,7,1,1,2001
739,2001-01-08,8,1,1,2001
740,2001-01-09,9,1,1,2001
741,2001-01-10,10,1,1,2001
742,2001-01-11,11,1,1,2001
743,2001-01-12,12,1,1,2001
744,2001-01-13,13,1,1,2001
745,2001-01-14,14,1,1,2001
746,2001-01-15,15,1,1,2001
747,2001-01-16,16,1,1,2001
748,2001-01-17,17,1,1,2001
749,2001-01-18,18,1,1,2001
750,2001-01-19,19,1,1,2001
751,2001-01-20,20,1,1,2001
752,2001-01-21,21,1,1,2001
753,2001-01-22,22,1,1,2001
754,2001-01-23,23,1,1,2001
755,2001-01-24,24,1,1,2001
756,2001-01-25,25,1,1,2001
757,2001-01-26,26,1,1,2001
758,2001-01-27,27,1,1,2001
759,2001-01-28,28,1,1,2001
760,2001-01-29,29,1,1,2001
761,2001-01-30,30,1,1,2001
762,2001-01-31,31,1,1,2001
763,2001-02-01,1,2,1,2001
764,2001-02-02,2,2,1,2001
765,2001-02-03,3,2,1,2001
766,2001-02-04,4,2,1,2001
767,2001-02-05,5,2,1,2001
768,2001-02-06,6,2,1,2001
769,2001-02-07,7,2,1,2001
770,2001-02-08,8,2,1,2001
771,2001-02-09,9,2,1,2001
772,2001-02-10,10,2,1,2001
